Stage,Tissue,Clonality,Total,CD4_pos,CD4_neg,CD8_pos,CD8_neg,Pct_CD4_pos,Pct_CD8_pos
Healthy,LIVER,Expanded,179,15,164,76,103,8.38,42.46
Healthy,LIVER,Non-expanded,366,57,309,188,178,15.57,51.37
Healthy,PBMC,Expanded,39,5,34,21,18,12.82,53.85
Healthy,PBMC,Non-expanded,508,173,335,225,283,34.06,44.29
Healthy,SAT,Expanded,29,8,21,11,18,27.59,37.93
Healthy,SAT,Non-expanded,43,16,27,8,35,37.21,18.6
Healthy,VAT,Expanded,57,7,50,20,37,12.28,35.09
Healthy,VAT,Non-expanded,350,85,265,85,265,24.29,24.29
No_Fibrosis,LIVER,Expanded,378,66,312,284,94,17.46,75.13
No_Fibrosis,LIVER,Non-expanded,825,240,585,370,455,29.09,44.85
No_Fibrosis,PBMC,Expanded,737,238,499,387,350,32.29,52.51
No_Fibrosis,PBMC,Non-expanded,1527,628,899,429,1098,41.13,28.09
No_Fibrosis,SAT,Expanded,133,30,103,98,35,22.56,73.68
No_Fibrosis,SAT,Non-expanded,143,75,68,33,110,52.45,23.08
No_Fibrosis,VAT,Expanded,602,162,440,383,219,26.91,63.62
No_Fibrosis,VAT,Non-expanded,2704,981,1723,1002,1702,36.28,37.06
Fibrosis,LIVER,Expanded,3699,520,3179,2700,999,14.06,72.99
Fibrosis,LIVER,Non-expanded,6283,1696,4587,3510,2773,26.99,55.87
Fibrosis,PBMC,Expanded,3409,575,2834,2392,1017,16.87,70.17
Fibrosis,PBMC,Non-expanded,8916,3349,5567,2731,6185,37.56,30.63
Fibrosis,SAT,Expanded,1059,303,756,667,392,28.61,62.98
Fibrosis,SAT,Non-expanded,2306,1117,1189,777,1529,48.44,33.69
Fibrosis,VAT,Expanded,3034,653,2381,1936,1098,21.52,63.81
Fibrosis,VAT,Non-expanded,7963,3023,4940,2738,5225,37.96,34.38
