"","seurat_clusters","cloneSize","n"
"1","0","Hyperexpanded (20 < X <= 273)",1752
"2","0","Large (10 < X <= 20)",1037
"3","0","Medium (5 < X <= 10)",850
"4","0","Small (1 < X <= 5)",2376
"5","0","Single (0 < X <= 1)",7447
"7","1","Hyperexpanded (20 < X <= 273)",638
"8","1","Large (10 < X <= 20)",661
"9","1","Medium (5 < X <= 10)",475
"10","1","Small (1 < X <= 5)",1458
"11","1","Single (0 < X <= 1)",12061
"13","2","Hyperexpanded (20 < X <= 273)",400
"14","2","Large (10 < X <= 20)",86
"15","2","Medium (5 < X <= 10)",74
"16","2","Small (1 < X <= 5)",105
"17","2","Single (0 < X <= 1)",82
"19","3","Hyperexpanded (20 < X <= 273)",139
"20","3","Large (10 < X <= 20)",66
"21","3","Medium (5 < X <= 10)",61
"22","3","Small (1 < X <= 5)",109
"23","3","Single (0 < X <= 1)",446
"25","4","Hyperexpanded (20 < X <= 273)",2784
"26","4","Large (10 < X <= 20)",884
"27","4","Medium (5 < X <= 10)",520
"28","4","Small (1 < X <= 5)",818
"29","4","Single (0 < X <= 1)",1304
"31","5","Hyperexpanded (20 < X <= 273)",108
"32","5","Large (10 < X <= 20)",48
"33","5","Medium (5 < X <= 10)",45
"34","5","Small (1 < X <= 5)",115
"35","5","Single (0 < X <= 1)",342
"37","6","Hyperexpanded (20 < X <= 273)",16
"38","6","Large (10 < X <= 20)",11
"39","6","Medium (5 < X <= 10)",11
"40","6","Small (1 < X <= 5)",34
"41","6","Single (0 < X <= 1)",59
"43","7","Hyperexpanded (20 < X <= 273)",173
"44","7","Large (10 < X <= 20)",110
"45","7","Medium (5 < X <= 10)",93
"46","7","Small (1 < X <= 5)",157
"47","7","Single (0 < X <= 1)",392
"49","8","Hyperexpanded (20 < X <= 273)",128
"50","8","Large (10 < X <= 20)",88
"51","8","Medium (5 < X <= 10)",58
"52","8","Small (1 < X <= 5)",136
"53","8","Single (0 < X <= 1)",667
"55","9","Hyperexpanded (20 < X <= 273)",15
"56","9","Large (10 < X <= 20)",15
"57","9","Medium (5 < X <= 10)",4
"58","9","Small (1 < X <= 5)",28
"59","9","Single (0 < X <= 1)",80
"61","10","Hyperexpanded (20 < X <= 273)",125
"62","10","Large (10 < X <= 20)",83
"63","10","Medium (5 < X <= 10)",54
"64","10","Small (1 < X <= 5)",161
"65","10","Single (0 < X <= 1)",453
"67","11","Hyperexpanded (20 < X <= 273)",97
"68","11","Large (10 < X <= 20)",53
"69","11","Medium (5 < X <= 10)",44
"70","11","Small (1 < X <= 5)",105
"71","11","Single (0 < X <= 1)",389
"73","12","Hyperexpanded (20 < X <= 273)",52
"74","12","Large (10 < X <= 20)",28
"75","12","Medium (5 < X <= 10)",26
"76","12","Small (1 < X <= 5)",49
"77","12","Single (0 < X <= 1)",76
"79","13","Hyperexpanded (20 < X <= 273)",26
"80","13","Large (10 < X <= 20)",12
"81","13","Medium (5 < X <= 10)",9
"82","13","Small (1 < X <= 5)",25
"83","13","Single (0 < X <= 1)",78
"85","14","Hyperexpanded (20 < X <= 273)",3
"86","14","Large (10 < X <= 20)",1
"87","14","Medium (5 < X <= 10)",3
"88","14","Small (1 < X <= 5)",2
"89","14","Single (0 < X <= 1)",4
"91","15","Hyperexpanded (20 < X <= 273)",15
"92","15","Large (10 < X <= 20)",3
"93","15","Medium (5 < X <= 10)",2
"94","15","Small (1 < X <= 5)",14
"95","15","Single (0 < X <= 1)",39
"97","16","Hyperexpanded (20 < X <= 273)",12
"98","16","Large (10 < X <= 20)",4
"99","16","Medium (5 < X <= 10)",2
"100","16","Small (1 < X <= 5)",16
"101","16","Single (0 < X <= 1)",43
"103","17","Hyperexpanded (20 < X <= 273)",89
"104","17","Large (10 < X <= 20)",48
"105","17","Medium (5 < X <= 10)",55
"106","17","Small (1 < X <= 5)",86
"107","17","Single (0 < X <= 1)",412
"109","18","Hyperexpanded (20 < X <= 273)",4
"110","18","Large (10 < X <= 20)",3
"111","18","Medium (5 < X <= 10)",3
"112","18","Small (1 < X <= 5)",6
"113","18","Single (0 < X <= 1)",22
"115","19","Hyperexpanded (20 < X <= 273)",9
"116","19","Large (10 < X <= 20)",6
"117","19","Medium (5 < X <= 10)",5
"118","19","Small (1 < X <= 5)",25
"119","19","Single (0 < X <= 1)",28
"121","20","Hyperexpanded (20 < X <= 273)",1
"122","20","Large (10 < X <= 20)",2
"123","20","Medium (5 < X <= 10)",2
"124","20","Small (1 < X <= 5)",7
"125","20","Single (0 < X <= 1)",11
"127","21","Hyperexpanded (20 < X <= 273)",50
"128","21","Large (10 < X <= 20)",27
"129","21","Medium (5 < X <= 10)",19
"130","21","Small (1 < X <= 5)",93
"131","21","Single (0 < X <= 1)",172
"133","22","Hyperexpanded (20 < X <= 273)",14
"134","22","Large (10 < X <= 20)",7
"135","22","Medium (5 < X <= 10)",5
"136","22","Small (1 < X <= 5)",20
"137","22","Single (0 < X <= 1)",32
"139","23","Hyperexpanded (20 < X <= 273)",4
"140","23","Large (10 < X <= 20)",4
"141","23","Medium (5 < X <= 10)",2
"142","23","Small (1 < X <= 5)",3
"143","23","Single (0 < X <= 1)",23
"145","24","Hyperexpanded (20 < X <= 273)",3
"146","24","Large (10 < X <= 20)",2
"147","24","Medium (5 < X <= 10)",1
"148","24","Small (1 < X <= 5)",4
"149","24","Single (0 < X <= 1)",4
"151","25","Medium (5 < X <= 10)",2
"152","25","Single (0 < X <= 1)",4
"154","26","Hyperexpanded (20 < X <= 273)",1
"155","26","Medium (5 < X <= 10)",1
"156","26","Single (0 < X <= 1)",2
"158","27","Hyperexpanded (20 < X <= 273)",15
"159","27","Large (10 < X <= 20)",5
"160","27","Medium (5 < X <= 10)",2
"161","27","Small (1 < X <= 5)",10
"162","27","Single (0 < X <= 1)",38
"164","28","Medium (5 < X <= 10)",1
"165","28","Single (0 < X <= 1)",2
"167","29","Small (1 < X <= 5)",3
"168","29","Single (0 < X <= 1)",7
"170","30","Single (0 < X <= 1)",1
